index,id,queue_pos,source,subject,answer,exp_len,severity,issues,question
97,official_114_2_subject3_47,31,official_114_2_subject3,,B,642,重大,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的；可能缺原題素材/圖表/程式碼,研究人員在對 digits 資料集進行分類時，決定使用 KNN 並搭配交叉驗證來 評估模型準確率。他們撰寫了四組不同的程式碼來進行 KNN 訓練與交叉驗 證，但不確定哪幾組程式碼能正確執行並輸出準確率。每組程式碼在資料 切割、模型訓練、交叉驗證函數的使用上略有差異，研究人員希望找
98,official_114_2_subject3_48,40,official_114_2_subject3,,C,942,警示,模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,參考下圖程式碼，下列何者正確？ A：X_train -= X_train.mean(axis=0) 將每個訓練集特徵的平均值調整為 0 B：X_train /= X_train.std(axis=0) 將每個訓練集特徵的標準差調整為 0 C：X_train 處理結果會將資料壓縮到
99,official_114_2_subject3_49,,official_114_2_subject3,,C,1363,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題幹線索是「核心考點辨識與選項排除」,"參考下圖執行結果：  model = Sequential() model.add(Input(shape=(X_train.shape[1],))) model.add(Dense(10, activation=""relu"")) model.add(Dense(10, acti"
100,official_114_2_subject3_50,76,official_114_2_subject3,,C,771,警示,模板句:正解之所以成立，是因為它最直接回應題幹描述｜這題在考你能不能把題幹描述對應到正確概念，而不是只靠單一名詞猜答案,"參考下圖執行結果，下列何者正確？ A：空格 1 須填入 ""b-"" B：空格 2 須填入 ""b--"" C：空格 1 須填入 ""r-"" D：空格 2 須填入 ""r--"" E：驗證損失明顯較訓練損失減少更明顯"
101,official_115_1_subject1_1,60,official_115_1_subject1,,D,641,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜這題在考你能不能把題幹描述對應到正確概念，而不是只靠單一名詞猜答案,"某 工 程 師 正 在 建 置 一 套 法 律 文 件 解 析 系 統 ， 在 進 行 資 訊 擷 取 （ Information Extraction）前，需要對文本進行詞性標註（Part-of-Speech Tagging, POS Tagging） 。 請問此步驟的主要目的"
103,official_115_1_subject1_3,89,official_115_1_subject1,,B,892,重大,模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題目問的是原因、目的還是改善策略；可能缺原題素材/圖表/程式碼,某工程師在建構搜尋引擎的詞向量模型時，語料庫規模達數十億 token，且包含 大量長尾詞彙（Long-tail Terms）。他在 Word2Vec 的 CBOW 與 Skip-gram 兩種訓 練策略之間進行選擇，需考量訓練效率與低頻詞表示品質之差異。下列何者最能 準確地反映兩
104,official_115_1_subject1_4,,official_115_1_subject1,,C,692,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,"某金融科技公司的工程師正在準備內部客服對話與交易紀錄文本，進行 BERT 模 型的預訓練，以提升模型對金融語境的理解能力，並採用遮蔽語言建模（Masked Language Model, MLM）作為訓練任務。請問 MLM 的核心訓練目標為何？"
105,official_115_1_subject1_5,,official_115_1_subject1,,C,673,重大,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜這題在考你能不能把題幹描述對應到正確概念，而不是只靠單一名詞猜答案；可能缺原題素材/圖表/程式碼,某電商平台的工程師在開發商品評論情感分析系統時，發現使用 One-Hot 編碼無 法表達詞語之間的語意關係，且隨著詞彙表擴大，向量維度與記憶體需求快速增 加。工程師因此改用 Word2Vec 進行詞語表示。請問 Word2Vec 從根本上解決了 上述問題的哪項限制？
106,official_115_1_subject1_6,,official_115_1_subject1,,C,767,警示,模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,某自駕車感知系統需要在同一張影像中同時完成道路、建築、行人的逐像素分類， 並且能夠區分畫面中兩名相鄰行人（標記為「行人#1」和「行人#2」） 。工程師在 選擇語義分割（Semantic Segmentation）與實例分割（Instance Segmentation）時， 請問兩
107,official_115_1_subject1_7,45,official_115_1_subject1,,C,727,警示,模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,某大型超市的防損系統需要即時偵測多名顧客各自手持的購物籃、手機與商品， 並需對每個物件進行精確區域標記（Pixel-level Mask） ，同時能區分畫面中不同個 體（即使不同顧客拿著相同商品，也需分別標記） 。請問下列哪一項技術最適合此 場景的需求？
108,official_115_1_subject1_8,123,official_115_1_subject1,,B,868,重大,模板句:常見陷阱是偷換概念、把次要效果說成主要目的；可能缺原題素材/圖表/程式碼,某工程師訓練了一個皮膚病變二元分類模型（惡性/良性），在向臨床醫師報告模 型效能時，使用 ROC 曲線（Receiver Operating Characteristic Curve）進行呈現。 請問 ROC 曲線的橫軸（X 軸）與縱軸（Y 軸）分別代表哪些指標，且在醫療情境 中
109,official_115_1_subject1_9,,official_115_1_subject1,,D,674,重大,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的；可能缺原題素材/圖表/程式碼,某團隊在監控影像分類模型的線上效能時，透過儀表板呈現混淆矩陣（Confusion Matrix） ，以觀察模型預測結果與實際標籤的分佈情形。請問下列哪一項無法從混 淆矩陣中直接計算？
110,official_115_1_subject1_10,,official_115_1_subject1,,A,914,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,某工廠導入即時影像瑕疵偵測系統，需在高頻影像流中進行快速推論。工程師在 YOLO 與 Faster R-CNN 兩種物件偵測架構之間進行評估，請問下列哪一個針對 兩者在偵測流程設計上的差異最為正確？
111,official_115_1_subject1_11,,official_115_1_subject1,,B,992,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,某工程師在分析 Transformer 架構時，發現自注意力機制（Self-Attention）能夠有 效提升模型對序列中長距離依賴關係的建模能力。請問 Self-Attention 的核心功能 為何？
112,official_115_1_subject1_12,,official_115_1_subject1,,B,657,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,某工程師在設計一個二元分類器（Binary Classifier）時，考慮在輸出層使用 Sigmoid 函數。請問 Sigmoid 函數的主要特性與限制為何？
113,official_115_1_subject1_13,,official_115_1_subject1,,C,763,警示,模板句:正解之所以成立，是因為它最直接回應題幹描述｜這題在考你能不能把題幹描述對應到正確概念，而不是只靠單一名詞猜答案,某公司評估兩種方案，將大型語言模型客製化為內部客服助理：方案 A 為提示微 調（Prompt Tuning） ，在輸入端加入可學習的軟提示（Soft Prompt） ；方案 B 為傳 統微調（Fine-Tuning），以標註問答資料調整模型。兩方案最本質的技術差異為 何？
114,official_115_1_subject1_14,,official_115_1_subject1,,A,867,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,"某工程師計劃將通用 LLM 在醫療問答語料上進行監督微調（Supervised FineTuning, SFT） ，但發生了災難性遺忘（Catastrophic Forgetting）問題。在計算資源 有限的情況下，工程師希望透過調整微調策略來緩解此問題。下列哪一種訓練設 計最能"
115,official_115_1_subject1_15,,official_115_1_subject1,,B,1023,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題幹線索是「核心考點辨識與選項排除」,某企業建置一套多代理人（Multi-Agent）系統，由一個 Orchestrator Agent 負責任 務分配，多個 Worker Agent 分別執行網路搜尋、程式撰寫與結果彙整。若 Orchestrator 發現某 Worker Agent 回傳結果品質不符合預期，從系統
116,official_115_1_subject1_16,69,official_115_1_subject1,,A,722,警示,模板句:正解之所以成立，是因為它最直接回應題幹描述｜這題在考你能不能把題幹描述對應到正確概念，而不是只靠單一名詞猜答案,一位工程師正在實作一個 ReAct 框架的 AI Agent，該 Agent 需要回答「台灣目前 最大的電動車充電站營運商是哪間公司，以及其充電樁總數」。 Agent 的工具清單如下： •web_search(query)：回傳搜尋結果摘要 •get_webpage(url)：回
118,official_115_1_subject1_18,11,official_115_1_subject1,,D,856,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,某醫院的 AI 研究團隊正在開發一套整合「CT 影像+電子病歷文本+基因序列」三 種模態資料的癌症預測模型。請問在此場景中採用「跨模態對齊（Cross-Modal Alignment）」技術主要解決什麼問題？
120,official_115_1_subject1_20,99,official_115_1_subject1,,A,881,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,"某電商公司計畫導入即時推薦系統，希望使用者進入網站後能在 100 毫秒內取得 推薦結果，且推薦結果需依據最新使用者行為進行調整。系統需支援每日約 50 萬 活躍使用者，尖峰時段每秒約 3,000 筆請求（QPS） 。目前公司已累積歷史購買紀 錄與瀏覽行為資料，並持續接收即時點擊流"
121,official_115_1_subject1_21,,official_115_1_subject1,,B,885,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,一位機器學習工程師正在優化公司內部的 RAG 法律文件問答系統。近期因營運 成本壓力，公司要求在不更換模型且不影響回答品質的前提下，將整體 token 成 本降低至目前的 60%，且目前成本主要集中於輸入 tokens。工程師在檢查系統後， 盤點出目前的使用情況如下： ◆使用模型
122,official_115_1_subject1_22,28,official_115_1_subject1,,C,864,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,某金融科技公司計劃建立完整的 AI 開發到維運流程，希望實現「模型訓練→測 試→部署→監控→再訓練」的自動化流程串接，並確保線上模型的版本可追溯。 技術主管建議引入 MLOps 框架。MLOps 在此 AI 開發生命週期中的核心角色為 何？
123,official_115_1_subject1_23,,official_115_1_subject1,,B,880,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,"某製造業公司計劃將 AI 導入生產線瑕疵檢測流程，目前瑕疵樣本約 800 張（含 各類瑕疵類型） 、正常樣本約 15,000 張，現有 IT 基礎設施為地端伺服器且無 GPU， 且生產線環境需於地端即時完成推論，檢測需求為每片零件須在 100 毫秒內完成 檢測，且預算為中等、無法"
124,official_115_1_subject1_24,,official_115_1_subject1,,D,583,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜這題在考你能不能把題幹描述對應到正確概念，而不是只靠單一名詞猜答案,某即時詐欺偵測系統對模型回應時間有嚴格限制，若推論延遲過高將影響交易核 准流程。維運工程師在模型上線前進行延遲測試（Latency Testing）時，主要評估 的目標為何？
125,official_115_1_subject1_25,,official_115_1_subject1,,B,859,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,某企業欲將其 AI 輔助決策系統提交給外部稽核單位審查，並宣稱符合 NIST《AI 風險管理框架》 （NIST AI RMF）中可驗證性（Verifiability）的要求。為讓第三方 稽核人員能獨立重現模型評估結果，下列哪一項技術實踐最直接符合此要求？
126,official_115_1_subject1_26,,official_115_1_subject1,,D,866,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,某銀行導入一套 AI 授信審核系統，針對貸款申請人進行自動化決策。監理單位 要求系統必須符合負責任 AI（Responsible AI）原則，特別是對被拒絕的申請人提 供每筆決策的具體理由說明。從技術與合規的角度，此要求的核心能力需求為 何？
127,official_115_1_subject1_27,29,official_115_1_subject1,,A,861,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,某醫院計劃導入一套 AI 醫療影像診斷輔助系統，用於輔助放射科醫師判讀 CT 影 像。院方技術委員會討論在人命攸關且需確保最終臨床決策責任由人類承擔的情 境下，從系統設計架構層面，最關鍵的安全機制為何？
128,official_115_1_subject1_28,107,official_115_1_subject1,,B,1098,重大,可能缺原題素材/圖表/程式碼,一位資料科學家使用 XGBoost 建立信用風險評分模型，並使用 SHAP 解釋模型 對某申請人的預測結果。SHAP summary plot 顯示該樣本中「月收入」的 SHAP 值 為-2.3， 「負債比率」為+1.8，其中 SHAP 值代表各特徵對模型輸出值的影響程度 與方向
129,official_115_1_subject1_29,119,official_115_1_subject1,,C,871,重大,模板句:常見陷阱是偷換概念、把次要效果說成主要目的；可能缺原題素材/圖表/程式碼,某工程師為一套卷積神經網路（CNN）的醫療影像輔助診斷系統設計模型可解釋 性機制。該系統需滿足下列需求： 1.能向醫師說明影像被判定為異常的原因 2.支援近即時推論，每次解釋須於 200 毫秒內完成，且不可進行大量重複採樣計 算 3.解釋結果須以影像中具代表性的視覺化像素區域呈現
130,official_115_1_subject1_30,,official_115_1_subject1,,C,636,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,某資料科學家正在處理一份包含 200 個感測器特徵的工廠設備監測資料集，為了 降低模型複雜度並保留主要變異資訊，他先對資料進行標準化（Standardization） ， 再使用主成分分析（PCA）進行降維。在 PCA 過程中，為了找出能最大化資料變 異量的主成分方向，演算法主要
131,official_115_1_subject1_31,,official_115_1_subject1,,A,903,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題目問的是原因、目的還是改善策略,某資料工程師嘗試對包含 300 個特徵的使用者行為資料集使用 DBSCAN 進行群 集分析，但發現幾乎所有資料點都被判定為雜訊點（Noise Points），難以形成有 意義的群集，即使不斷調整ε（Epsilon）與 MinPts 參數也無濟於事。請問下列何 者為此問題最可能的根
134,official_115_1_subject1_34,,official_115_1_subject1,,B,965,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題幹線索是「核心考點辨識與選項排除」,某廣告技術公司的點擊率（CTR）預測系統每天新增數百個用戶行為特徵（如新 廣告位、新設備類型） ，特徵空間持續動態擴展。若採用傳統靜態模型每週批次重 訓一次，會導致嚴重的模型過期問題。為在特徵空間頻繁變化的情況下維持模型 即時準確度，最適合的模型架構方向為何？
135,official_115_1_subject1_35,35,official_115_1_subject1,,B,642,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,某生物醫學研究機構正在建構一個整合「基因序列特徵」與「電子病歷文本特徵」 的疾病風險預測模型。由於高維數值特徵和語意文本特徵的性質差異顯著，請問 下列哪一種特徵處理與選擇策略最為合適？
136,official_115_1_subject1_36,,official_115_1_subject1,,A,896,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題目問的是原因、目的還是改善策略,某公司希望開發一個工業零件瑕疵辨識分類模型，共有 10 個類別，但每類僅約 50 張人工標註影像（總計約 500 張）。由於標註成本高昂，短期內無法擴充資料 集。在此情境下，工程師需要在有限標註資料下建構高效能模型。請問下列哪一 種策略最為適合？
138,official_115_1_subject1_38,59,official_115_1_subject1,,D,837,警示,模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,某 IoT 平台接收工廠溫度感測器資料，發現在常態分佈（均值 25°C，標準差 2° C）的數萬筆紀錄中，出現數筆「999°C」的極端值，研判為感測器通訊錯誤（網 路封包延遲導致數值溢位）所致，且該異常數值在實際情況下不可能發生。在進 行模型訓練前的資料清洗階段，針對這類離群值，
139,official_115_1_subject1_39,,official_115_1_subject1,,A,694,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜這題在考你能不能把題幹描述對應到正確概念，而不是只靠單一名詞猜答案,某 AI 平台工程師正在為多模態模型訓練系統規劃資料儲存架構，需要同時處理 原始影像、非結構化文本，以及經過整理的結構化特徵資料。在此情境下，應如 何選擇資料湖（Data Lake）與資料倉儲（Data Warehouse）的使用方式？
140,official_115_1_subject1_40,,official_115_1_subject1,,D,857,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,某智慧製造公司在產線上部署工業相機進行即時外觀瑕疵檢測，原先將影像傳至 雲端進行 AI 推論，但因網路延遲與連線不穩導致系統無法滿足即時需求（需低 於 200ms） 。工程師因此改為將模型部署於產線端的邊緣裝置後，但仍未達系統需 求。在不更換硬體設備的前提下，下列哪一組技術最能有
141,official_115_1_subject1_41,,official_115_1_subject1,,A,876,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,某 AI 影像辨識平台以單一 GPU 伺服器提供多租戶推論服務，系統長期觀察到 GPU 使用率約維持在 60%左右，且在執行過程中可觀察到 GPU kernel 之間存在 明顯閒置間隔，單次推論多以小批次方式執行。然而，在尖峰時段時，請求延遲 會出現明顯波動甚至突增。同時，CPU
142,official_115_1_subject1_42,15,official_115_1_subject1,,D,865,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,某保險公司將理賠金額預測模型正式部署上線，MLOps 團隊設計監控機制。三個 月後模型整體均方根誤差（RMSE）無明顯變化，但業務單位反映高額理賠案件 的預測誤差明顯增加。經分析，高額理賠案件僅佔約 5%的樣本比例，且未被監 控機制及時發現。請問最可能的設計缺陷為何？
144,official_115_1_subject1_44,129,official_115_1_subject1,,B,937,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,某 MLOps 工程師正在設計 AI 模型的推論服務 API，需要處理使用者上傳的高解 析度影像（平均 5MB）進行即時分類。在 RESTful API 設計時，選擇 HTTP 請求 方法與資料傳輸格式的最佳實踐為何？
145,official_115_1_subject1_45,125,official_115_1_subject1,,B,863,重大,模板句:常見陷阱是偷換概念、把次要效果說成主要目的；可能缺原題素材/圖表/程式碼,某 AI 平台整合多個外部 AI 微服務（語音辨識 API、NLP 分析 API、知識圖譜查 詢服務） ，在高峰期間某外部服務偶發延遲或逾時（Timeout） ，導致請求鏈路壅塞， 最終造成平台級服務中斷（Cascading Failure） 。為從架構層面預防此類連鎖故障， 最
146,official_115_1_subject1_46,,official_115_1_subject1,,C,1048,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,某醫院計劃建立混合雲 AI 平台：使用公有雲 GPU 叢集進行 CT 影像模型訓練， 但基於 HIPAA（Health Insurance Portability and Accountability Act）法規要求，患 者影像原始資料不得離開醫院院內環境。下列何者最符合「利用
147,official_115_1_subject1_47,55,official_115_1_subject1,,D,665,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,某電商平台將新的推薦模型部署至線上系統，為降低風險，團隊採用漸進式部署 策略（Phased Rollout） ，先將新模型流量從 5%逐步提升至 100%。在部署初期， 團隊發現轉換率（Conversion Rate）略有提升，但在流量提升至 30%時，系統延 遲（Latency
148,official_115_1_subject1_48,82,official_115_1_subject1,,C,1003,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,某銀行的信用卡風控模型已穩定上線一年，主要用於偵測盜刷交易提醒。近期在 未對模型或特徵工程進行調整的情況下，系統觀察到深夜電商交易的核准率明顯 上升，盜刷攔截率下降，但模型 AUC 幾乎維持不變，且交易金額、地區與裝置 等特徵分布未出現明顯變化。進一步分析發現，疫情後使用者行為改
149,official_115_1_subject1_49,17,official_115_1_subject1,,A,868,重大,模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題幹線索是「核心考點辨識與選項排除」；可能缺原題素材/圖表/程式碼,某零售電商平台已建立模型監控儀表板，用於追蹤線上推薦模型的運作狀態與效 能 表 現 。 維 運 工 程 師 需 判 斷 哪 些 指 標 屬 於 「 線 上 持 續 監 控 （ Continuous Monitoring）」的範疇。下列指標中，哪一項最不適合在即時監控系統中追蹤，而
150,official_115_1_subject1_50,,official_115_1_subject1,,D,891,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,某醫療團隊建立肺炎診斷系統，採用晚期融合（Late Fusion）策略，將胸腔 X 光 影像與病患問診文字分別進行預測後再整合結果。測試發現，當問診紀錄品質不 佳（如描述簡短或資訊缺漏）時，整體模型效能僅小幅下降。關於此現象，下列 何者最不可能為其原因？
151,official_115_1_subject3_1,30,official_115_1_subject3,,C,645,重大,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的；疑似抓錯考點:monte_carlo_mislabel,某量化投資團隊需估算某投資組合未來 30 日的風險值。由於衍生性金融商品的 定價模型過於複雜，無法以解析解直接求得，工程師因此採用隨機模擬方式，產 生大量市場情境模擬並估計損失分布。此方法屬於下列哪一種技術框架？
152,official_115_1_subject3_2,,official_115_1_subject3,,C,638,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,某工程師在建立房價預測模型時，訓練資料中存在少數豪宅（成交價超過一般物 件 10 倍以上） 。若工程師希望模型對這些極端高價物件的預測誤差更敏感，並在 訓練時產生較大的梯度更新影響，應優先選擇下列哪種損失函數？
153,official_115_1_subject3_3,,official_115_1_subject3,,A,971,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,"某工程師在撰寫 Transformer 的 Attention 層時，需手動驗證矩陣維度是否相容。 輸入矩陣 Q 已攤平成形狀為(1, 10)，Query 投影權重矩陣 WQ 形狀為(10, 64)。執 行 Q x WQ 後輸出的形狀為何？"
154,official_115_1_subject3_4,,official_115_1_subject3,,C,1033,重大,可能缺原題素材/圖表/程式碼,某 AI 團隊同時開發多個影像辨識系統，並在訓練流程中統一加入資料擴增策略 （包含隨機水平翻轉）以提升模型泛化能力。實驗後發現，部分任務的測試表現 明顯下降。下列哪一項任務最可能因該資料擴增策略引入語意錯誤（Semantic Inconsistency），使同一樣本在翻轉後對應不
155,official_115_1_subject3_5,68,official_115_1_subject3,,C,669,重大,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的；可能缺原題素材/圖表/程式碼,某工程師完成多元線性迴歸模型後，繪製殘差圖（Residual Plot），發現殘差隨預 測值增大而呈現擴散現象（右側明顯比左側分散） 。此現象最可能代表什麼問題？
156,official_115_1_subject3_6,85,official_115_1_subject3,,B,724,警示,模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,某資料科學家欲對 512 維詞嵌入向量（共 10 萬筆）進行視覺化以探索群集結構， 同時另一工程師需將 200 個製程特徵降維後作為 XGBoost 的輸入特徵。關於 tSNE 與 PCA 選型，下列敘述何者最正確？
157,official_115_1_subject3_7,,official_115_1_subject3,,B,660,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,某金融團隊建立信貸風險模型，特徵工程後共產生 200 個變數，其中「月收入」 、 「年收入」 、 「季收入」三者高度相關。模型上線後業務單位反映：每次重新訓練 後，模型輸出的重要特徵清單在這些高度相關特徵間反覆變動，難以向審查單位 解釋。請問下列何者為造成此現象最可能的原因？
158,official_115_1_subject3_8,130,official_115_1_subject3,,B,875,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,某深度學習工程師訓練 ResNet 時，發現模型在前幾個 Epoch 驗證損失快速下降， 但從第 15 個 Epoch 起驗證損失開始上升，而訓練損失持續下降。工程師將學習 率調高後，訓練損失反而開始明顯震盪。學習率過大最直接導致下列哪種現象？
160,official_115_1_subject3_10,23,official_115_1_subject3,,A,877,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,某工程師同時開發兩個模型：一個預測使用者「隔日 App 使用時長（分鐘）」 ，另 一個預測使用者「隔日是否流失（是/否）」 。關於上述兩個任務，他應分別選擇哪 種適當的損失函數？
161,official_115_1_subject3_11,,official_115_1_subject3,,D,671,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜這題在考你能不能把題幹描述對應到正確概念，而不是只靠單一名詞猜答案,某工程師在 A100 GPU 叢集上訓練大型語言模型，觀察到以下現象：全批次梯度 下降時 GPU 利用率達 100%，但每次更新耗時 45 秒；隨機梯度下降（SGD）每 次更新僅需 0.01 秒，但梯度極不穩定、訓練曲線震盪劇烈。為兼顧梯度穩定性與 GPU 吞吐量（Through
162,official_115_1_subject3_12,62,official_115_1_subject3,,A,684,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,某醫院導入肺癌篩檢模型，資料集中正常病例佔 99%、肺癌陽性僅佔 1%。模型 上線後，系統報告整體準確率（Accuracy）為 99.1%。醫師對此數字感到疑慮， 認為不足以評估臨床價值，在漏診風險上可能存在重大問題。請問在此情境下， 僅以 Accuracy 作為評估指標最嚴重的
164,official_115_1_subject3_14,86,official_115_1_subject3,,C,662,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜這題在考你能不能把題幹描述對應到正確概念，而不是只靠單一名詞猜答案,某電商平台使用樸素貝氏分類器（Naive Bayes Classifier）建立垃圾郵件過濾模型。 訓練集準確率（Accuracy）達 92%，但上線後發現，包含「限時優惠、立即下單 享折扣」等關鍵字的正常促銷郵件，常被誤判為垃圾信。經分析發現，這些詞彙 在訓練資料中多出現在垃圾
165,official_115_1_subject3_15,,official_115_1_subject3,,D,700,警示,模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,某資料科學家將客戶資料進行分群，使用 K-means（K=5）後發現部分群集呈現 半月形（非凸）結構，且資料中存在少數離群值（Outliers）。他同時觀察到每次 執行結果略有不同。下列敘述何者最完整且準確地反映 K-means 在此情境中的已 知限制？
166,official_115_1_subject3_16,91,official_115_1_subject3,,A,901,重大,模板句:常見陷阱是偷換概念、把次要效果說成主要目的；可能缺原題素材/圖表/程式碼,某資料科學家在信用評分任務中使用 XGBoost 建立模型，發現模型在訓練集表現 良好但驗證集出現過擬合跡象。他檢視其模型設計，發現 XGBoost 在目標函數 （Objective Function）中引入額外的正則化機制以控制模型複雜度。相較於傳統 梯度提升決策樹（GBDT）
167,official_115_1_subject3_17,,official_115_1_subject3,,B,661,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜這題在考你能不能把題幹描述對應到正確概念，而不是只靠單一名詞猜答案,某醫療新創團隊將原有 3 層 CNN 升級為 16 層架構以提升 CT 影像腫瘤偵測率， 但發現訓練損失反而高於 3 層版本且收斂困難。工程師懷疑是網路深度造成的訓 練問題，下列診斷與對策何者最正確？
169,official_115_1_subject3_19,43,official_115_1_subject3,,D,729,警示,模板句:正解之所以成立，是因為它最直接回應題幹描述｜這題在考你能不能把題幹描述對應到正確概念，而不是只靠單一名詞猜答案,某團隊開發合約文件審查系統，需比對合約首頁的定義條款與第 20 頁的責任條 款是否一致。工程師初版採用雙向長短期記憶（Bidirectional LSTM），但發現長 文件的跨段落語義關聯捕捉效果不佳，且訓練時間隨文件長度明顯增加。改用 Transformer 架構後問題獲得改善
170,official_115_1_subject3_20,132,official_115_1_subject3,,C,899,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,工程師在 PyTorch 中建構貓、狗、鳥三分類 CNN，並使用交叉熵損失函數 （CrossEntropyLoss）作為訓練目標。由於此損失函數在內部已包含 Softmax 計 算，輸出層的設計需特別注意。請問輸出層的激活函數（Activation Function）與 輸出維度
171,official_115_1_subject3_21,36,official_115_1_subject3,,D,655,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,某工程師將一個大型預訓練模型部署至資源受限的行動裝置，發現模型體積過大 且推論效率不足。為降低模型大小並提升推論速度，他將原本 32-bit 浮點數權重 轉換為 8-bit 整數。在不重新訓練模型的前提下，請問此過程稱為何？
172,official_115_1_subject3_22,58,official_115_1_subject3,,C,680,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜這題在考你能不能把題幹描述對應到正確概念，而不是只靠單一名詞猜答案,某工程師建置企業內部知識問答的 RAG 系統，上線後發現部分問題檢索結果與 查詢語意不符。分析後確認問題出在向量搜尋的語意匹配不準確。於檢索階段， 採取下列哪種方法最能直接改善此問題？
